poll|position|artist|track
2020|10|Billie Eilish|Therefore I Am
2020|11|Lime Cordiale|On Our Own
2020|12|Mashd N Kutcher|Get On The Beers [Ft. Dan Andrews]
2020|13|Mallrat|Rockstar
2020|14|Ocean Alley|Tombstone
2020|15|Spacey Jane|Skin
2020|16|Lime Cordiale|Screw Loose
2020|17|Tame Impala|Is It True
2020|18|Glass Animals|Tangerine
2020|19|Halsey|you should be sad
2020|20|Lime Cordiale|Addicted To The Sunshine
2020|21|Stace Cadet & KLP|Energy
2020|22|Eves Karydas|Complicated
2020|23|Mac Miller|Good News
2020|24|Mac Miller|Blue World
2020|25|Lime Cordiale|Reality Check Please
2020|26|Lime Cordiale|No Plans To Make Plans
2020|27|Skegss|Under The Thunder
2020|28|Spacey Jane|Straightfaced
2020|29|Sycco|Dribble
2020|30|Birdz|Bagi-la-m Bargan [Ft. Fred Leone]
2020|31|San Cisco|Reasons
2020|32|DMA'S|Criminals
2020|33|Tame Impala|Breathe Deeper
2020|34|Amy Shark|Everybody Rise
2020|35|The Avalanches|Running Red Lights [Ft. Rivers Cuomo/Pink Siifu]
2020|36|Machine Gun Kelly|forget me too [Ft. Halsey]
2020|37|The Kid LAROI|SO DONE
2020|38|Bring Me The Horizon|Parasite Eve
2020|39|Juice WRLD|Righteous
2020|40|Juice WRLD|Come & Go [Ft. Marshmello]
2020|41|The Smith Street Band|I Still Dream About You
2020|42|Jack Harlow|WHATS POPPIN
2020|43|Ziggy Alberts|Together
2020|44|G Flip|You & I
2020|45|Ruel|as long as you care
2020|46|Tash Sultana|Pretty Lady
2020|47|Architects|Animals
2020|48|Headie One|Ain't It Different [Ft. AJ Tracey/Stormzy]
2020|49|Juice WRLD|Wishing Well
2020|50|Peking Duk & The Wombats|Nothing To Love About Love
2020|51|Glass Animals|Your Love (Déjà Vu)
2020|52|DMA'S|The Glow
2020|53|The Weeknd|In Your Eyes
2020|54|Eiffel 65|Blue [Flume Remix]
2020|55|Alex the Astronaut|I Think You're Great
2020|56|San Cisco|On The Line
2020|57|Beddy Rays|Sobercoaster
2020|58|Tones And I|Fly Away
2020|59|Joji|Gimme Love
2020|60|The Kid LAROI|GO [Ft. Juice WRLD]
2020|61|Ruby Fields|Pretty Grim
2020|62|Joji|Run
2020|63|Ball Park Music|Day & Age
2020|64|The Amity Affliction|Soak Me In Bleach
2020|65|Amy Shark|C'MON [Ft. Travis Barker]
2020|66|Skegss|Fantasising
2020|67|Doja Cat|Boss Bitch
2020|68|Vera Blue|Lie To Me
2020|69|Hope D|Second
2020|70|Chet Faker|Low
2020|71|Bring Me The Horizon & YUNGBLUD|Obey
2020|72|Ocean Alley|Way Down
2020|73|Genesis Owusu|Don't Need You
2020|74|LAUREL|Scream Drive Faster
2020|75|Remi Wolf|Photo ID
2020|76|London Grammar|Baby It's You
2020|77|Sofi Tukker & Gorgon City|House Arrest
2020|78|G Flip|Lady Marmalade [triple j Like A Version 2020]
2020|79|Billie Eilish|my future
2020|80|FISHER|Freaks
2020|81|Spacey Jane|Weightless
2020|82|The Chats|The Clap
2020|83|Cosmo's Midnight & Ruel|Down For You
2020|84|Dominic Fike|Chicken Tenders
2020|85|Dune Rats|Too Tough Terry
2020|86|Drake|Laugh Now Cry Later [Ft. Lil Durk]
2020|87|Teenage Joans|Three Leaf Clover
2020|88|BRONSON|HEART ATTACK [Ft. lau.ra]
2020|89|The Jungle Giants|In Her Eyes
2020|90|Billie Eilish|No Time To Die
2020|91|Bugs|Charlie [triple j Like A Version 2020]
2020|92|Thelma Plum|These Days
2020|93|Internet Money|Lemonade [Ft. Gunna/Don Toliver/NAV]
2020|94|Aitch x AJ Tracey|Rain [Ft. Tay Keith]
2020|95|Illy|Loose Ends [Ft. G Flip]
2020|96|Hockey Dad|Germaphobe
2020|97|Stormzy|Audacity [Ft. Headie One]
2020|98|Joji|Your Man
2020|99|Hockey Dad|Itch
2020|100|BENEE|Kool
2019|1|Billie Eilish|bad guy
2019|2|Flume|Rushing Back {Ft. Vera Blue}
2019|3|Mallrat|Charlie
2019|4|Tones and I|Dance Monkey
2019|5|Denzel Curry|Bulls On Parade {triple j Like A Version 2019}
2019|6|G Flip|Drink Too Much
2019|7|Lime Cordiale|Robbery
2019|8|The Jungle Giants|Heavy Hearted
2019|9|Thelma Plum|Better In Blak
2019|10|Hilltop Hoods|Exit Sign {Ft. Illy/Ecca Vandal}
2019|11|Post Malone|Circles
2019|12|FIDLAR|By Myself
2019|13|Lime Cordiale|Inappropriate Behaviour
2019|14|Sofi Tukker|Purple Hat
2019|15|Tones and I|Never Seen The Rain
2019|16|Billie Eilish|everything i wanted
2019|17|Lime Cordiale|I Touch Myself {triple j Like A Version 2019}
2019|18|Tame Impala|Borderline
2019|19|BENEE|Glitter
2019|20|DMA'S|Silver
2019|21|The Chats|Pub Feed
2019|22|Ruel|Painkiller
2019|23|Tyler, The Creator|EARFQUAKE
2019|24|Ocean Alley|Infinity
2019|25|BENEE|Find An Island
2019|26|Tones and I|Johnny Run Away
2019|27|Stormzy|Vossi Bop
2019|28|Lizzo|Juice
2019|29|MEDUZA|Piece Of Your Heart {Ft. Goodboys}
2019|30|Flume|Friends {Ft. Reo Cragun}
2019|31|Skegss|Save It For The Weekend
2019|32|Lime Cordiale|Money
2019|33|Dom Dolla|San Frandisco
2019|34|Glass Animals|Tokyo Drifting {Ft. Denzel Curry}
2019|35|Billie Eilish|bury a friend
2019|36|PNAU|Solid Gold {Ft. Kira Divine/Marques Toliver}
2019|37|Duke Dumont|Red Light Green Light {Ft. Shaun Ross}
2019|38|Ruel|Face To Face
2019|39|Catfish and the Bottlemen|Longshot
2019|40|Halsey|Graveyard
2019|41|Travis Scott|HIGHEST IN THE ROOM
2019|42|Juice WRLD|Robbery
2019|43|Tame Impala|It Might Be Time
2019|44|Baker Boy|Cool As Hell
2019|45|Denzel Curry|RICKY
2019|46|Dean Lewis|7 Minutes
2019|47|BROCKHAMPTON|SUGAR
2019|48|Ziggy Alberts|Intentions (22)
2019|49|Ruel|Free Time
2019|50|Holy Holy|Teach Me About Dying
2019|51|BENEE|Evil Spider
2019|52|Tame Impala|Patience
2019|53|FISHER|You Little Beauty
2019|54|Ocean Alley|Stained Glass
2019|55|Khalid|Talk {Ft. Disclosure}
2019|56|J. Cole|MIDDLE CHILD
2019|57|Slowly Slowly|Jellyfish
2019|58|G Flip|Lover
2019|59|Mallrat x Basenji|Nobody's Home
2019|60|Hockey Dad|I Missed Out
2019|61|Holy Holy|Maybe You Know
2019|62|Bakar|Hell N Back
2019|63|Halsey|Nightmare
2019|64|George Alice|Circles
2019|65|Thelma Plum|Homecoming Queen
2019|66|G Flip|Stupid
2019|67|Billie Eilish|wish you were gay
2019|68|Illy|Then What
2019|69|Violent Soho|Vacation Forever
2019|70|E^ST|Talk Deep
2019|71|The Weeknd|Blinding Lights
2019|72|Angie McMahon|Pasta
2019|73|Cub Sport|Party Pill
2019|74|Hayden James and NAATIONS|Nowhere To Go
2019|75|Golden Features x The Presets|Paradise
2019|76|Meg Mac|Something Tells Me
2019|77|G Flip|I Am Not Afraid
2019|78|Thelma Plum|Not Angry Anymore
2019|79|Dean Lewis|Stay Awake
2019|80|Spacey Jane|Good For You
2019|81|Flume|Let You Know {Ft. London Grammar}
2019|82|Peking Duk & Jack River|Sugar
2019|83|Alex Lahey|Welcome To The Black Parade {triple j Like A Version 2019}
2019|84|DOPE LEMON|Hey You
2019|85|Lana Del Rey|Doin' Time
2019|86|Slipknot|Unsainted
2019|87|Kanye West|Follow God
2019|88|Meduza x Becky Hill x Goodboys|Lose Control
2019|89|Sampa the Great|Final Form
2019|90|Skegss|Here Comes Your Man {triple j Like A Version 2019}
2019|91|Billie Eilish|all the good girls go to hell
2019|92|Client Liaison|The Real Thing
2019|93|Post Malone|Wow.
2019|94|Allday|Protection
2019|95|Adrian Eagle|A.O.K.
2019|96|Bring Me The Horizon|Ludens
2019|97|San Cisco|Skin
2019|98|Baker Boy|Meditjin {Ft. JessB}
2019|99|Cosmo's Midnight|C.U.D.I. (Can U Dig It)
2019|100|Dune Rats|No Plans
2018|1|Ocean Alley|Confidence
2018|2|FISHER|Losing It
2018|3|Travis Scott|SICKO MODE
2018|4|Childish Gambino|This Is America
2018|5|Amy Shark|I Said Hi
2018|6|Dean Lewis|Be Alright
2018|7|Mallrat|Groceries
2018|8|Billie Eilish|when the party's over
2018|9|Ruby Fields|Dinosaurs
2018|10|Ocean Alley|Knees
2018|11|Skegss|Up In The Clouds
2018|12|The Wombats|Turn
2018|13|A$AP Rocky|Praise The Lord (Da Shine) {Ft. Skepta}
2018|14|Wafia|I'm Good
2018|15|Hayden James|Just Friends {Ft. Boy Matthews}
2018|16|Ocean Alley|Baby Come Back {triple j Like A Version 2018}
2018|17|Billie Eilish|lovely {with Khalid}
2018|18|Hockey Dad|Join The Club
2018|19|Broods|Peach
2018|20|KIAN|Waiting
2018|21|The Rubens|Never Ever {Ft. Sarah}
2018|22|RÃœFÃœS DU SOL|Underwater
2018|23|RÃœFÃœS DU SOL|Treat You Better
2018|24|Hilltop Hoods|Leave Me Lonely
2018|25|Thundamentals|I Miss You
2018|26|Vera Blue|All The Pretty Girls
2018|27|Post Malone & Swae Lee|Sunflower
2018|28|Kendrick Lamar & SZA|All The Stars
2018|29|Peking Duk|Fire
2018|30|Cub Sport|Sometimes
2018|31|Alison Wonderland|Church
2018|32|The Rubens|God Forgot
2018|33|Post Malone|Better Now
2018|34|King Princess|1950
2018|35|Mac Miller|Ladders
2018|36|Amy Shark|All Loved Up
2018|37|Ziggy Alberts|Love Me Now
2018|38|G Flip|About You
2018|39|Ball Park Music|The Perfect Life Does Not Exist
2018|40|Drake|Nice For What
2018|41|DMA'S|In The Air
2018|42|Ziggy Alberts|Laps Around The Sun
2018|43|Drake|God's Plan
2018|44|Hilltop Hoods|Clark Griswold {Ft. Adrian Eagle}
2018|45|Bring Me The Horizon|MANTRA
2018|46|Billie Eilish|you should see me in a crown
2018|47|DZ Deathrays|Like People
2018|48|San Cisco|When I Dream
2018|49|Angie McMahon|Missing Me
2018|50|RÃœFÃœS DU SOL|No Place
2018|51|Baker Boy|Mr La Di Da Di
2018|52|Khalid|Better
2018|53|Vance Joy|We're Going Home
2018|54|Vance Joy|Saturday Sun
2018|55|Peking Duk|Wasted
2018|56|Halsey|Without Me
2018|57|The Presets|Martini
2018|58|Bene|Soaked
2018|59|Meg Mac|Give Me My Name Back
2018|60|DMA'S|The End
2018|61|Hockey Dad|I Wanna Be Everybody
2018|62|G Flip|Killing My Time
2018|63|BROCKHAMPTON|BOOGIE
2018|64|Middle Kids|Mistake
2018|65|Methyl Ethel|Scream Whole
2018|66|Flight Facilities|Need You {Ft. NÃKA}
2018|67|Anderson .Paak|Tints {Ft. Kendrick Lamar}
2018|68|benny blanco|Eastside {Ft. Halsey/Khalid}
2018|69|The Wombats|Cheetah Tongue
2018|70|Mallrat|UFO {Ft. Allday}
2018|71|Skegss|Smogged Out
2018|72|Nothing But Thieves|What Can I Do If The Fire Goes Out {triple j Like A Version 2018}
2018|73|Hockey Dad|Sweet Release
2018|74|King Princess|Pussy Is God
2018|75|Kira Puru|Molotov
2018|76|Polish Club|Clarity
2018|77|CHVRCHES|Miracle
2018|78|Hayden James|Better Together {Ft. Running Touch}
2018|79|Thelma Plum|Clumsy Love
2018|80|Mark Ronson|Nothing Breaks Like A Heart {Ft. Miley Cyrus}
2018|81|Jack River|Ballroom
2018|82|Florence + The Machine|Hunger
2018|83|BROCKHAMPTON|1999 WILDFIRE
2018|84|Tash Sultana|Cigarettes
2018|85|Anderson .Paak|Bubblin'
2018|86|Lime Cordiale|Dirt Cheap
2018|87|Ruel|Younger
2018|88|WAAX|Labrador
2018|89|Ruel|Dazed & Confused {Prod. M-Phazes}
2018|90|Post Malone|Psycho {Ft. Ty Dolla $ign}
2018|91|A$AP Rocky|Sundress
2018|92|Thundamentals|Everybody But You
2018|93|Trophy Eyes|You Can Count On Me
2018|94|The Amity Affliction|Ivy (Doomsday)
2018|95|Arctic Monkeys|Four Out Of Five
2018|96|Odette|Take It To The Heart
2018|97|DMA'S|Do I Need You Now?
2018|98|Kanye West|Ghost Town
2018|99|YUNGBLUD|Polygraph Eyes
2018|100|Ocean Alley|Happy Sad
2017|1|Kendrick Lamar|HUMBLE.
2017|2|Gang Of Youths|Let Me Down Easy
2017|3|Angus & Julia Stone|Chateau
2017|4|Methyl Ethel|Ubu
2017|5|Gang Of Youths|The Deepest Sighs, The Frankest Shadows
2017|6|Lorde|Green Light
2017|7|PNAU|Go Bang
2017|8|Thundamentals|Sally {Ft. Mataya}
2017|9|Vance Joy|Lay It On Me
2017|10|Gang Of Youths|What Can I Do If The Fire Goes Out?
2017|11|BROCKHAMPTON|SWEET
2017|12|Peking Duk & AlunaGeorge|Fake Magic
2017|13|Khalid|Young Dumb & Broke
2017|14|Lorde|Homemade Dynamite
2017|15|Vera Blue|Regular Touch
2017|16|The Jungle Giants|Feel The Way I Do
2017|17|Baker Boy|Marryuna {Ft. Yirrmal}
2017|18|Ball Park Music|Exactly How You Are
2017|19|The Killers|The Man
2017|20|Peking Duk|Let You Down {Ft. Icona Pop}
2017|21|The Smith Street Band|Birthdays
2017|22|The Wombats|Lemon To A Knife Fight
2017|23|Alex The Astronaut|Not Worth Hiding
2017|24|Post Malone|rockstar {Ft. 21 Savage}
2017|25|Amy Shark|Weekends
2017|26|Portugal. The Man|Feel It Still
2017|27|Winston Surfshirt|Be About You
2017|28|Tash Sultana|Mystik
2017|29|Vera Blue|Mended
2017|30|Meg Mac|Low Blows
2017|31|Touch Sensitive|Lay Down
2017|32|Hayden James|NUMB {Ft. GRAACE}
2017|33|Angie McMahon|Slow Mover
2017|34|Kendrick Lamar|DNA.
2017|35|Drake|Passionfruit
2017|36|Alex Lahey|I Haven't Been Taking Care Of Myself
2017|37|Calvin Harris|Slide {Ft. Frank Ocean/Migos}
2017|38|Billie Eilish|Bellyache
2017|39|Skegss|Got On My Skateboard
2017|40|Holy Holy|True Lovers
2017|41|Gang Of Youths|Blood {triple j Like A Version 2017}
2017|42|CamelPhat & Elderbrook|Cola
2017|43|Tash Sultana|Murder To The Mind
2017|44|Allday|In Motion {Ft. Japanese Wallpaper}
2017|45|Alex Lahey|Every Day's The Weekend
2017|46|Mallrat|Better
2017|47|HAIM|Want You Back
2017|48|Ocean Alley|The Comedown
2017|49|The Smith Street Band|Passiona
2017|50|The Jungle Giants|On Your Way Down
2017|51|Big Shaq|Man's Not Hot
2017|52|Macklemore|Glorious {Ft. Skylar Grey}
2017|53|Bliss N Eso|Moments {Ft. Gavin James}
2017|54|Hockey Dad|Homely Feeling
2017|55|Dune Rats|6 Pack
2017|56|Odette|Watch Me Read You
2017|57|The Jungle Giants|Bad Dream
2017|58|Camp Cope|The Opener
2017|59|The Jungle Giants|Used To Be In Love
2017|60|Charli XCX|Boys
2017|61|Thundamentals|21 Grams {Ft. Hilltop Hoods}
2017|62|Khalid|Saved
2017|63|E^ST|Life Goes On
2017|64|Jack River|Fool's Gold
2017|65|Arcade Fire|Everything Now
2017|66|N.E.R.D. & Rihanna|Lemon
2017|67|DZ Deathrays|Shred For Summer
2017|68|Kingswood|Golden
2017|69|Yungblud|I Love You, Will You Marry Me
2017|70|Nothing But Thieves|Amsterdam
2017|71|Lorde|Perfect Places
2017|72|alt-J|In Cold Blood
2017|73|King Gizzard & The Lizard Wizard|Nuclear Fusion
2017|74|Lil Uzi Vert|XO TOUR Llif3
2017|75|Dune Rats|Braindead
2017|76|Baker Boy|Cloud 9 {Ft. Kian}
2017|77|The Rubens|Million Man
2017|78|Tash Sultana|Electric Feel {triple j Like A Version 2017}
2017|79|San Cisco|Hey, Did I Do You Wrong?
2017|80|The xx|Say Something Loving
2017|81|Lorde|Liability
2017|82|Logic|1-800-273-8255 {Ft. Alessia Cara/Khalid}
2017|83|Amy Shark|Blood Brothers
2017|84|Vallis Alps|Oceans
2017|85|Boo Seeka|Does This Last
2017|86|Meg Mac|Maybe It's My First Time
2017|87|Queens Of The Stone Age|The Way You Used To Do
2017|88|Paul Dempsey|Edge Of Town {triple j Like A Version 2017}
2017|89|DMA's|Dawning
2017|90|Flume|Hyperreal {Ft. KUČKA}
2017|91|Stormzy|Big For Your Boots
2017|92|Kendrick Lamar|LOVE. {Ft. ZACARI}
2017|93|The Presets|Do What You Want
2017|94|Kim Churchill|Second Hand Car
2017|95|Future|Mask Off
2017|96|Cub Sport|Chasin'
2017|97|Kendrick Lamar|LOYALTY. {Ft. RIHANNA}
2017|98|Angus & Julia Stone|Snow
2017|99|Flight Facilities|Arty Boy {Ft. Emma Louise}
2017|100|Snakehips & MØ|Don't Leave
2016|1|Flume|Never Be Like You {Ft. Kai}
2016|2|Amy Shark|Adore
2016|3|Tash Sultana|Jungle
2016|4|Hilltop Hoods|1955 {Ft. Montaigne/Tom Thum}
2016|5|Childish Gambino|Redbone
2016|6|DMA'S|Believe {triple j Like A Version 2016}
2016|7|Illy|Papercuts {Ft. Vera Blue}
2016|8|Flume|Say It {Ft. Tove Lo}
2016|9|Peking Duk|Stranger {Ft. Elliphant}
2016|10|The Weeknd|Starboy {Ft. Daft Punk}
2016|11|Pnau|Chameleon
2016|12|Milky Chance|Cocoon
2016|13|Mura Masa|Love$ick {Ft. A$AP Rocky}
2016|14|Violent Soho|Viceroy
2016|15|Miike Snow|Genghis Khan
2016|16|A.B. Original|January 26 {Ft. Dan Sultan}
2016|17|Big Scary|The Opposite Of Us
2016|18|Chance The Rapper|All Night {Ft. Knox Fortune}
2016|19|Catfish And The Bottlemen|7
2016|20|The xx|On Hold
2016|21|The Smith Street Band|Death To The Lads
2016|22|Kanye West|Ultralight Beam
2016|23|Illy|Catch 22 {Ft. Anne-Marie}
2016|24|Cub Sport|Come On Mess Me Up
2016|25|Montaigne|Because I Love You
2016|26|SAFIA|Make Them Wheels Roll
2016|27|Gretta Ray|Drive
2016|28|The Avalanches|Frankie Sinatra
2016|29|Sticky Fingers|Our Town
2016|30|RÜFÜS|Innerbloom {What So Not Remix}
2016|31|Drake|One Dance {Ft. Wizkid/Kyla}
2016|32|Tash Sultana|Notion
2016|33|Dune Rats|Bullshit
2016|34|Dune Rats|Scott Green
2016|35|Client Liaison|World Of Our Love
2016|36|Sticky Fingers|Sad Songs
2016|37|Flume|Smoke & Retribution {Ft. Vince Staples/KUCKA}
2016|38|Glass Animals|Youth
2016|39|DMA'S|Step Up The Morphine
2016|40|Kid Cudi|Surfin' {Ft. Pharrell Williams}
2016|41|The Weeknd|I Feel It Coming {Ft. Daft Punk}
2016|42|Broods|Heartlines
2016|43|MØ|Final Song
2016|44|D.D Dumbo|Satan
2016|45|A.B. Original|Dumb Things {Ft. Paul Kelly/Dan Sultan} {Like A Version 2016}
2016|46|Mac Miller|Dang! {Ft. Anderson .Paak}
2016|47|D.D Dumbo|Walrus
2016|48|Kingswood|Creepin
2016|49|Hilltop Hoods|Higher {Ft. James Chatburn}
2016|50|Gang Of Youths|Strange Diseases
2016|51|Sticky Fingers|Outcast At Last
2016|52|Halsey|Love Yourself {triple j Like A Version 2016}
2016|53|Violent Soho|Blanket
2016|54|Blink-182|Bored To Death
2016|55|RÜFÜS|Say A Prayer For Me
2016|56|Paces|Keeping Score {Ft. Guy Sebastian} {triple j Like A Version 2016}
2016|57|Catfish And The Bottlemen|Twice
2016|58|Ali Barter|Girlie Bits
2016|59|Frank Ocean|Solo
2016|60|Sofi Tukker|Drinkee
2016|61|King Gizzard & The Lizard Wizard|Gamma Knife
2016|62|DOPE LEMON|Marinade
2016|63|Glass Animals|Life Itself
2016|64|Maggie Rogers|Alaska
2016|65|The Amity Affliction|All Fucked Up
2016|66|Beyoncé|Hold Up
2016|67|The Amity Affliction|I Bring The Weather With Me
2016|68|L D R U|Next To You {Ft. Savoi}
2016|69|Violent Soho|So Sentimental
2016|70|Golden Features|Wolfie {Ft. Julia Stone}
2016|71|Broods|Free
2016|72|Kanye West|Famous
2016|73|Violent Soho|No Shade
2016|74|Camp Cope|Lost: Season One
2016|75|The Avalanches|Because I'm Me
2016|76|The Amity Affliction|This Could Be Heartbreak
2016|77|Catfish And The Bottlemen|Soundcheck
2016|78|Vera Blue|Settle
2016|79|Radiohead|Burn The Witch
2016|80|Banks|Gemini Feed
2016|81|Desiigner|Panda
2016|82|Thundamentals|Think About It {Ft. Peta & The Wolves}
2016|83|Tkay Maidza|Simulation
2016|84|Frank Ocean|Pink + White
2016|85|SAFIA|My Love Is Gone
2016|86|Bliss N Eso|Dopamine {Ft. Thief}
2016|87|DOPE LEMON|Uptown Folks
2016|88|Childish Gambino|Me And Your Mama
2016|89|SAFIA|Over You
2016|90|Luca Brasi|Anything Near Conviction
2016|91|The Avalanches|Subways
2016|92|Violent Soho|How To Taste
2016|93|Empire Of The Sun|High And Low
2016|94|Vallis Alps|Fading
2016|95|Flume|Lose It {Ft. Vic Mensa}
2016|96|Elk Road|Hanging By A Thread {Ft. Natalie Foster}
2016|97|Alex Lahey|You Don't Think You Like People Like Me
2016|98|Glass Animals|Season 2 Episode 3
2016|99|Drake|Too Good {Ft. Rihanna}
2016|100|Birds Of Tokyo|Brace
2015|1|The Rubens|Hoops
2015|2|Kendrick Lamar|King Kunta
2015|3|Major Lazer|Lean On {Ft. M¯/DJ Snake}
2015|4|Tame Impala|The Less I Know The Better
2015|5|Tame Impala|Let It Happen
